relative_path,class,label,latin_label,phonetic,type
English Handwritten Characters\train\0\img001-001.png,0,0,0,zero,DIGIT
English Handwritten Characters\train\1\img002-001.png,1,1,1,one,DIGIT
English Handwritten Characters\train\2\img003-001.png,2,2,2,two,DIGIT
English Handwritten Characters\train\3\img004-001.png,3,3,3,three,DIGIT
English Handwritten Characters\train\4\img005-001.png,4,4,4,four,DIGIT
English Handwritten Characters\train\5\img006-001.png,5,5,5,five,DIGIT
English Handwritten Characters\train\6\img007-001.png,6,6,6,six,DIGIT
English Handwritten Characters\train\7\img008-001.png,7,7,7,seven,DIGIT
English Handwritten Characters\train\8\img009-001.png,8,8,8,eight,DIGIT
English Handwritten Characters\train\9\img010-001.png,9,9,9,nine,DIGIT
English Handwritten Characters\train\10\img011-001.png,10,A,A,,LETTER_UPPER
English Handwritten Characters\train\11\img012-001.png,11,B,B,,LETTER_UPPER
English Handwritten Characters\train\12\img013-001.png,12,C,C,,LETTER_UPPER
English Handwritten Characters\train\13\img014-001.png,13,D,D,,LETTER_UPPER
English Handwritten Characters\train\14\img015-001.png,14,E,E,,LETTER_UPPER
English Handwritten Characters\train\15\img016-001.png,15,F,F,,LETTER_UPPER
English Handwritten Characters\train\16\img017-001.png,16,G,G,,LETTER_UPPER
English Handwritten Characters\train\17\img018-001.png,17,H,H,,LETTER_UPPER
English Handwritten Characters\train\18\img019-001.png,18,I,I,,LETTER_UPPER
English Handwritten Characters\train\19\img020-001.png,19,J,J,,LETTER_UPPER
English Handwritten Characters\train\20\img021-001.png,20,K,K,,LETTER_UPPER
English Handwritten Characters\train\21\img022-001.png,21,L,L,,LETTER_UPPER
English Handwritten Characters\train\22\img023-001.png,22,M,M,,LETTER_UPPER
English Handwritten Characters\train\23\img024-001.png,23,N,N,,LETTER_UPPER
English Handwritten Characters\train\24\img025-001.png,24,O,O,,LETTER_UPPER
English Handwritten Characters\train\25\img026-001.png,25,P,P,,LETTER_UPPER
English Handwritten Characters\train\26\img027-001.png,26,Q,Q,,LETTER_UPPER
English Handwritten Characters\train\27\img028-001.png,27,R,R,,LETTER_UPPER
English Handwritten Characters\train\28\img029-001.png,28,S,S,,LETTER_UPPER
English Handwritten Characters\train\29\img030-001.png,29,T,T,,LETTER_UPPER
English Handwritten Characters\train\30\img031-001.png,30,U,U,,LETTER_UPPER
English Handwritten Characters\train\31\img032-001.png,31,V,V,,LETTER_UPPER
English Handwritten Characters\train\32\img033-001.png,32,W,W,,LETTER_UPPER
English Handwritten Characters\train\33\img034-001.png,33,X,X,,LETTER_UPPER
English Handwritten Characters\train\34\img035-001.png,34,Y,Y,,LETTER_UPPER
English Handwritten Characters\train\35\img036-001.png,35,Z,Z,,LETTER_UPPER
English Handwritten Characters\train\36\img037-001.png,36,a,a,,LETTER_LOWER
English Handwritten Characters\train\37\img038-001.png,37,b,b,,LETTER_LOWER
English Handwritten Characters\train\38\img039-001.png,38,c,c,,LETTER_LOWER
English Handwritten Characters\train\39\img040-001.png,39,d,d,,LETTER_LOWER
English Handwritten Characters\train\40\img041-001.png,40,e,e,,LETTER_LOWER
English Handwritten Characters\train\41\img042-001.png,41,f,f,,LETTER_LOWER
English Handwritten Characters\train\42\img043-001.png,42,g,g,,LETTER_LOWER
English Handwritten Characters\train\43\img044-001.png,43,h,h,,LETTER_LOWER
English Handwritten Characters\train\44\img045-001.png,44,i,i,,LETTER_LOWER
English Handwritten Characters\train\45\img046-001.png,45,j,j,,LETTER_LOWER
English Handwritten Characters\train\46\img047-001.png,46,k,k,,LETTER_LOWER
English Handwritten Characters\train\47\img048-001.png,47,l,l,,LETTER_LOWER
English Handwritten Characters\train\48\img049-001.png,48,m,m,,LETTER_LOWER
English Handwritten Characters\train\49\img050-001.png,49,n,n,,LETTER_LOWER
English Handwritten Characters\train\50\img051-001.png,50,o,o,,LETTER_LOWER
English Handwritten Characters\train\51\img052-001.png,51,p,p,,LETTER_LOWER
English Handwritten Characters\train\52\img053-001.png,52,q,q,,LETTER_LOWER
English Handwritten Characters\train\53\img054-001.png,53,r,r,,LETTER_LOWER
English Handwritten Characters\train\54\img055-001.png,54,s,s,,LETTER_LOWER
English Handwritten Characters\train\55\img056-001.png,55,t,t,,LETTER_LOWER
English Handwritten Characters\train\56\img057-001.png,56,u,u,,LETTER_LOWER
English Handwritten Characters\train\57\img058-001.png,57,v,v,,LETTER_LOWER
English Handwritten Characters\train\58\img059-001.png,58,w,w,,LETTER_LOWER
English Handwritten Characters\train\59\img060-001.png,59,x,x,,LETTER_LOWER
English Handwritten Characters\train\60\img061-001.png,60,y,y,,LETTER_LOWER
English Handwritten Characters\train\61\img062-001.png,61,z,z,,LETTER_LOWER
English Handwritten Characters\train\0\img001-002.png,0,0,0,zero,DIGIT
English Handwritten Characters\train\1\img002-002.png,1,1,1,one,DIGIT
English Handwritten Characters\train\2\img003-002.png,2,2,2,two,DIGIT
English Handwritten Characters\train\3\img004-002.png,3,3,3,three,DIGIT
English Handwritten Characters\train\4\img005-002.png,4,4,4,four,DIGIT
English Handwritten Characters\train\5\img006-002.png,5,5,5,five,DIGIT
English Handwritten Characters\train\6\img007-002.png,6,6,6,six,DIGIT
English Handwritten Characters\train\7\img008-002.png,7,7,7,seven,DIGIT
English Handwritten Characters\train\8\img009-002.png,8,8,8,eight,DIGIT
English Handwritten Characters\train\9\img010-002.png,9,9,9,nine,DIGIT
English Handwritten Characters\train\10\img011-002.png,10,A,A,,LETTER_UPPER
English Handwritten Characters\train\11\img012-002.png,11,B,B,,LETTER_UPPER
English Handwritten Characters\train\12\img013-002.png,12,C,C,,LETTER_UPPER
English Handwritten Characters\train\13\img014-002.png,13,D,D,,LETTER_UPPER
English Handwritten Characters\train\14\img015-002.png,14,E,E,,LETTER_UPPER
English Handwritten Characters\train\15\img016-002.png,15,F,F,,LETTER_UPPER
English Handwritten Characters\train\16\img017-002.png,16,G,G,,LETTER_UPPER
English Handwritten Characters\train\17\img018-002.png,17,H,H,,LETTER_UPPER
English Handwritten Characters\train\18\img019-002.png,18,I,I,,LETTER_UPPER
English Handwritten Characters\train\19\img020-002.png,19,J,J,,LETTER_UPPER
English Handwritten Characters\train\20\img021-002.png,20,K,K,,LETTER_UPPER
English Handwritten Characters\train\21\img022-002.png,21,L,L,,LETTER_UPPER
English Handwritten Characters\train\22\img023-002.png,22,M,M,,LETTER_UPPER
English Handwritten Characters\train\23\img024-002.png,23,N,N,,LETTER_UPPER
English Handwritten Characters\train\24\img025-002.png,24,O,O,,LETTER_UPPER
English Handwritten Characters\train\25\img026-002.png,25,P,P,,LETTER_UPPER
English Handwritten Characters\train\26\img027-002.png,26,Q,Q,,LETTER_UPPER
English Handwritten Characters\train\27\img028-002.png,27,R,R,,LETTER_UPPER
English Handwritten Characters\train\28\img029-002.png,28,S,S,,LETTER_UPPER
English Handwritten Characters\train\29\img030-002.png,29,T,T,,LETTER_UPPER
English Handwritten Characters\train\30\img031-002.png,30,U,U,,LETTER_UPPER
English Handwritten Characters\train\31\img032-002.png,31,V,V,,LETTER_UPPER
English Handwritten Characters\train\32\img033-002.png,32,W,W,,LETTER_UPPER
English Handwritten Characters\train\33\img034-002.png,33,X,X,,LETTER_UPPER
English Handwritten Characters\train\34\img035-002.png,34,Y,Y,,LETTER_UPPER
English Handwritten Characters\train\35\img036-002.png,35,Z,Z,,LETTER_UPPER
English Handwritten Characters\train\36\img037-002.png,36,a,a,,LETTER_LOWER
English Handwritten Characters\train\37\img038-002.png,37,b,b,,LETTER_LOWER
